date,symbol,name,hash,url
2025-06-22,3664.T,MOBCAST HLDGS INC,3ffe6eb8e23275fa211a1700e874b0a0,
2025-06-22,5255.T,MONSTARLAB INC,a65e38f7232f9423f08635ce8fe5116b,
2025-06-22,3664.T,MOBCAST HLDGS INC,df367da6b942a0d58aa179faef54230a,
2025-06-22,5255.T,MONSTARLAB INC,b75cd7ab54f623f34e3a1ae61ddeb6ef,
2025-06-22,2385.T,SOIKEN HOLDINGS INC,329a57044e9649c589cab961cb00fd1b,
2025-06-22,2673.T,YUMEMITSUKETAI CO LTD,84378e87230bd50c99d1a614f68e9dc1,
2025-06-22,2930.T,KITANOTATSUJIN CORP,447b556c11b99f8ab0b97ba3bf02ff29,
2025-06-22,3070.T,JELLY BEANS GROUP CO LTD,6f04f9a0a81676e8d121607e104200bf,
2025-06-22,3350.T,METAPLANET INC,95b78768df8f0ba2f7441366aff14d89,
2025-06-22,3667.T,ENISH INC,0db27963f0acba6aace2d9c903f4bb08,
2025-06-22,3672.T,ALTPLUSINC,374dd33adddfb242e8ff3fdc79960195,
2025-06-22,3760.T,CAVE INTERACTIVE CO LTD,57f509e6ed7284b71af75e46e7cb8f62,
2025-06-22,3968.T,SEGUE GROUP CO LTD,fb50b01db9242df19468e90401ea03c4,
2025-06-22,4576.T,D.WESTERN THERAPEUTICS INST INC,bfe536f77372f8841e3ae473d2c39581,
2025-06-22,5246.T,ELEMENTS INC,b95b5471b554ffff126e4667b4fb8131,
2025-06-22,5721.T,S-SCIENCE COMPANY LTD,08bd097bae402375c9c7dcb1bbe16b4c,
2025-06-22,6177.T,APPBANK INC,868298e17735de0a7d78c866ea4902aa,
2025-06-22,6573.T,AGILE MEDIA NETWORK INC,d84c56a9319bc25e4cb6d37f965ba3a4,
2025-06-22,6836.T,PLAT'HOME CO LTD,c3e33bae7aa2031849c731a6b4bdd855,
2025-06-22,7638.T,NEW ART HOLDINGS CO LTD,958fa23ecd3f55a7848157bf5373ea65,
2025-06-22,7836.T,AVIX INC,b66cbf80ecb5d2d7fd8a95de6f7cee13,
2025-06-22,8946.T,ASIAN STAR CO,7b5bed795ca5e9c584414c0ad1156f81,
2025-06-22,9227.T,MICROWAVE CHEMICAL CO LTD,663125cdfbfdd731706480472f802286,
2025-06-22,9237.T,EMIMEN CO LTD,67e415d1ee2da2f7e6417db0dd151446,
2025-06-22,9348.T,ISPACE INC,23e404c6a50ce3af748b0e0742699c0e,
2025-06-22,9432.T,NIPPON TEL & TEL CORP,7efa436cf293437cb2cc6ae98ef136bc,
2025-06-22,9973.T,KOZO HOLDINGS CO LTD,05ca9c1278a7babc51ed0e3af2c336c3,
2025-06-22,5246.T,ELEMENTS INC,0e38a609287206b7829d49b5daa7ed1b,
2025-06-22,5255.T,MONSTARLAB INC,2b770302e1d8f1cba36338397689e9ee,
2025-06-22,5246.T,ELEMENTS INC,ea15c6fd8dec5c31162d66f2a27f876d,
2025-06-22,5255.T,MONSTARLAB INC,265358cbd5a0947fad88aa9fdfa67844,
2025-06-22,5246.T,ELEMENTS INC,e117161de082433b3300534be839d8f7,
2025-06-22,5255.T,MONSTARLAB INC,0b244314d3eae7935f3b982425664050,
2025-06-22,5246.T,ELEMENTS INC,fe13face7c08b509bf7378373c2bb3cc,
2025-06-22,5255.T,MONSTARLAB INC,e7532546a678952aaaa66b2d46d266e3,
2025-06-22,5246.T,ELEMENTS INC,4bd9e0d092e081067aa2fdc68bf216ed,
2025-06-22,5255.T,MONSTARLAB INC,5de554ae73a44f8aa9fcedbddfc98142,
2025-06-22,5246.T,ELEMENTS INC,e93b5625b1eb9841a41903a67b569dc9,
2025-06-22,5255.T,MONSTARLAB INC,f92d3cd985d8ef9d97c7e02a141f6e5d,
2025-06-22,5246.T,ELEMENTS INC,6319e66898cd0303b311c4f7825d6aa3,
2025-06-22,5255.T,MONSTARLAB INC,58169f76e19699f61906136f98b7db78,
2025-06-22,5246.T,ELEMENTS INC,eb48dfa87ea1f66e3ace0f5c3494fae9,
2025-06-22,5255.T,MONSTARLAB INC,8273ffd5fa0bb979ea169b6f44fb8aa2,
2025-06-22,5246.T,ELEMENTS INC,47345f80a55a28b7e55b28d975651fce,
2025-06-22,5255.T,MONSTARLAB INC,ce8d9d8b67f7daf7a149f302e3b2e1d8,
2025-06-22,5246.T,ELEMENTS INC,bb61e73e9839880e328f64fa8d466a4f,
2025-06-22,5255.T,MONSTARLAB INC,0a8b91ded545d80479c58bba8b63e8f8,
2025-06-22,5246.T,ELEMENTS INC,14f5877b132e9abe293ab21385c11dbf,
2025-06-22,5255.T,MONSTARLAB INC,230e33d795f5e51a9b8f93ce1e09fe7c,
2025-06-22,5246.T,ELEMENTS INC,f807a200bbf474fe227a01e4f06752a9,
2025-06-22,5255.T,MONSTARLAB INC,6bd272553b54d2b0102e6a1213955bf1,
2025-06-22,5246.T,ELEMENTS INC,ab742375d7eb755336addc2497d85b09,
2025-06-22,5255.T,MONSTARLAB INC,357a52e984281f17bd7419d906441ecc,
2025-06-22,5246.T,ELEMENTS INC,0a1cf2abef8fbea555da27b582f2f6ba,
2025-06-22,5255.T,MONSTARLAB INC,32d2df1d93cb5df16f65cd2acb6e3946,
2025-06-22,5246.T,ELEMENTS INC,ebf7f4ec7ab9ff2a25bd7d0119733e4d,
2025-06-22,5255.T,MONSTARLAB INC,683de16366759f1a97b5267065b890ae,
2025-06-22,5246.T,ELEMENTS INC,2a7ee991368010c6eb0754c633dbac21,
2025-06-22,5255.T,MONSTARLAB INC,f8d92fe1b3bf0664f77c3fc8848f64ff,
2025-06-22,5246.T,ELEMENTS INC,59b9bf21533d3f673ac4dccb87a8e877,
2025-06-22,5255.T,MONSTARLAB INC,8404869257e5fc2b9276f92228081436,
2025-06-22,5246.T,ELEMENTS INC,6b4d6241711366b5c2d42ff8eaacafd1,
2025-06-22,5255.T,MONSTARLAB INC,77d9b2dabdafe1eba138b3a8fd004da1,
2025-06-22,5246.T,ELEMENTS INC,53721bac23eaf3eae2728c89e7aaaf17,
2025-06-22,5255.T,MONSTARLAB INC,60d31a284a37025a4ebfc00d29854c1a,
2025-06-22,5246.T,ELEMENTS INC,a372ebf17e7103e21d035985222dcbc8,
2025-06-22,5255.T,MONSTARLAB INC,c6ea7f2efab2ae3c560d06c07eed3b37,
2025-06-22,5246.T,ELEMENTS INC,d7b715d205ce4f962b92e9c972f916fc,
2025-06-22,5255.T,MONSTARLAB INC,658af3b1d3033636c194429c2373f25f,
2025-06-22,5246.T,ELEMENTS INC,43670a14e4ef88c90c0c273c941f3c4d,
2025-06-22,5255.T,MONSTARLAB INC,2004d4b686656a1a27fa364270ae81e0,
2025-06-22,5246.T,ELEMENTS INC,cec19aead55c00acd045b47bf82430e0,
2025-06-22,5255.T,MONSTARLAB INC,cffca0520c07ee021841103dff1166d0,
2025-06-22,5246.T,ELEMENTS INC,5365628e900274612fb1ef0f816fce25,
2025-06-22,5255.T,MONSTARLAB INC,13b7cb22a5c48b0487496e69be4c6957,
2025-06-22,5246.T,ELEMENTS INC,5365628e900274612fb1ef0f816fce25,
2025-06-22,5255.T,MONSTARLAB INC,13b7cb22a5c48b0487496e69be4c6957,
2025-06-22,5246.T,ELEMENTS INC,7487b58a73659b5add77490629a64fb0,
2025-06-22,5255.T,MONSTARLAB INC,1e5e7f4aefed6237d2b961909bd91689,
2025-06-22,5246.T,ELEMENTS INC,7487b58a73659b5add77490629a64fb0,
2025-06-22,5255.T,MONSTARLAB INC,1e5e7f4aefed6237d2b961909bd91689,
2025-06-22,5246.T,ELEMENTS INC,7487b58a73659b5add77490629a64fb0,
2025-06-22,5255.T,MONSTARLAB INC,1e5e7f4aefed6237d2b961909bd91689,
