date,symbol,name,hash,url
2025-06-21,3664.T,MOBCAST HLDGS INC,b09536edaa1efc4b606c96bc69bf4e1f,https://i.gyazo.com/b09536edaa1efc4b606c96bc69bf4e1f.png
2025-06-21,5255.T,MONSTARLAB INC,99416f0291da45381b977369da08c38a,https://i.gyazo.com/99416f0291da45381b977369da08c38a.png
2025-06-21,3664.T,MOBCAST HLDGS INC,6e8ed8898dc90548539bff9ccfa30c02,
2025-06-21,5255.T,MONSTARLAB INC,6ac9cb30daa04329a19fb249222ea817,
2025-06-21,3664.T,MOBCAST HLDGS INC,19220d0c58033b5636ed88e83ce9d155,
2025-06-21,5255.T,MONSTARLAB INC,fe9b2186e2c49c1a42402e5ac2094931,
2025-06-21,3664.T,MOBCAST HLDGS INC,3b20c4757a63e8c3abbb2100ab5325b5,
2025-06-21,5255.T,MONSTARLAB INC,78c0738204b00d894682d0e1848b91df,
2025-06-21,3664.T,MOBCAST HLDGS INC,8b357a66cfd7d2b0bbef21ff366b57b4,
2025-06-21,5255.T,MONSTARLAB INC,6ef6d1f205476048a25e6fb9478652c7,
2025-06-21,3664.T,MOBCAST HLDGS INC,ed242105297188488eebbb0bd81d419b,
2025-06-21,5255.T,MONSTARLAB INC,82a36c3838a878e15cec53d9ba47bd18,
2025-06-21,3664.T,MOBCAST HLDGS INC,c73072a672378fdedf03e1fe929b5f86,
2025-06-21,5255.T,MONSTARLAB INC,41b9758c33be69b2c3f2bc2e5ac01606,
2025-06-21,3664.T,MOBCAST HLDGS INC,8a23bf83b4cca302bd50e88ead895d50,
2025-06-21,5255.T,MONSTARLAB INC,b35bc947cdb0eb10bd0dd6a6fdfe4ed0,
2025-06-21,3664.T,MOBCAST HLDGS INC,501a2228ea93008ac7966580c3de6bcf,
2025-06-21,5255.T,MONSTARLAB INC,32b623dc2672e1244edeb4cc44888684,
2025-06-21,3664.T,MOBCAST HLDGS INC,7456bb9c948d209c5431f1aeb3606377,
2025-06-21,5255.T,MONSTARLAB INC,0dd0d3267d1ea2d75efc4b15d5925b94,
2025-06-21,3664.T,MOBCAST HLDGS INC,19952712797ceed1dd8ef0bd420d76fb,
2025-06-21,5255.T,MONSTARLAB INC,51af5c0382683b436e5beff28d9958e1,
2025-06-21,3664.T,MOBCAST HLDGS INC,f296e7adc68f7f5399f565ddad352961,
2025-06-21,5255.T,MONSTARLAB INC,900f8ecd5592dc8f7e76f77fe0144857,
2025-06-21,3664.T,MOBCAST HLDGS INC,ddfe20dcad560fd0aa5a54bf32553626,
2025-06-21,5255.T,MONSTARLAB INC,27494fd71aca20e0e8e6b93f9392c142,
2025-06-21,3664.T,MOBCAST HLDGS INC,aca7ac20de9a302647c9f576bbb4290f,
2025-06-21,5255.T,MONSTARLAB INC,e0233a752d03b0d854d06621e0379833,
2025-06-21,3664.T,MOBCAST HLDGS INC,bb6fcbe590993f0d873c3ea4515424e8,
2025-06-21,5255.T,MONSTARLAB INC,bf091ab747a5d226f76b2bf4280ac0be,
2025-06-21,3664.T,MOBCAST HLDGS INC,06c05f9e1d145d042eecc13e981b4e1f,
2025-06-21,5255.T,MONSTARLAB INC,7afcccca7eab1b7838b669d42578b2be,
2025-06-21,3664.T,MOBCAST HLDGS INC,ffbbd11d3b13d4295cb17549b28951f2,
2025-06-21,5255.T,MONSTARLAB INC,726c2271c9545d24383c7bffc870e1a4,
