date,symbol,name,hash,url
2025-06-23,2385.T,SOIKEN HOLDINGS INC,b1ad5f1b5a927849690c5b393fae5070,
2025-06-23,2673.T,YUMEMITSUKETAI CO LTD,8284403bc0173caf733c45e665a61087,
2025-06-23,2930.T,KITANOTATSUJIN CORP,fc137507fa5a21250232785d2a24bb1c,
2025-06-23,3070.T,JELLY BEANS GROUP CO LTD,e20e88c0543e5463eb1706917502a3b3,
2025-06-23,3350.T,METAPLANET INC,988fa5408f4e584f02320693aef92727,
2025-06-23,3664.T,MOBCAST HLDGS INC,b92f2646e06680d923d648d926f0e097,
2025-06-23,3667.T,ENISH INC,a324e033e52af5fb078d9c7faa48ec5b,
2025-06-23,3672.T,ALTPLUSINC,c36a0d6fdc22303d04b69b748d16956d,
2025-06-23,3760.T,CAVE INTERACTIVE CO LTD,95f561bd88211627d7109c7ed5f3ed1a,
2025-06-23,3968.T,SEGUE GROUP CO LTD,6fc3b26ced7930e47077a3bef7e48e7b,
2025-06-23,4576.T,D.WESTERN THERAPEUTICS INST INC,df409e8bdd4b224380747e34ad420314,
2025-06-23,5246.T,ELEMENTS INC,242477d3471948a1ed731dfdb1d1b4f1,
2025-06-23,5255.T,MONSTARLAB INC,f9c10222e4feee5ceaf14b46c9fde1a9,
