symbol,name,date,attention,comment,signals_buy,signals_sell,gyazo_url,image_path
190A.T,CHORDIA THERAPEUTICS INC,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、直近安値割れ、戻り売り陰線、高値切り下げ継続,,output/2025-06-24\chart_190A.T_CHORDIA THERAPEUTICS INC_2025-06-24.png
3667.T,ENISH INC,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,押し目陽線,高値切り下げ継続、三連続陰線（弱気連続）,,output/2025-06-24\chart_3667.T_ENISH INC_2025-06-24.png
3968.T,SEGUE GROUP CO LTD,2025-06-24,打診売り,🔻 やや下落傾向。戻り売りに注意。,,高値切り下げ継続,,output/2025-06-24\chart_3968.T_SEGUE GROUP CO LTD_2025-06-24.png
6177.T,APPBANK INC,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、過去に急騰／急落歴あり、戻り売り陰線、高値切り下げ継続,,output/2025-06-24\chart_6177.T_APPBANK INC_2025-06-24.png
9348.T,ISPACE INC,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線、高値切り下げ継続,,output/2025-06-24\chart_9348.T_ISPACE INC_2025-06-24.png
8522.T,BANK OF NAGOYA,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線,,output/2025-06-24\chart_8522.T_BANK OF NAGOYA_2025-06-24.png
8541.T,EHIME BANK,2025-06-24,打診売り,🔻 やや下落傾向。戻り売りに注意。,MACD陽転,移動平均線下抜け、戻り売り陰線,,output/2025-06-24\chart_8541.T_EHIME BANK_2025-06-24.png
8584.T,JACCS CO LTD,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線,,output/2025-06-24\chart_8584.T_JACCS CO LTD_2025-06-24.png
8558.T,TOWA BANK,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線、高値切り下げ継続,,output/2025-06-24\chart_8558.T_TOWA BANK_2025-06-24.png
8566.T,RICOH LEASING CO,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線、三連続陰線（弱気連続）,,output/2025-06-24\chart_8566.T_RICOH LEASING CO_2025-06-24.png
8860.T,FUJI CORPORATION LIMITED,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線、三連続陰線（弱気連続）,,output/2025-06-24\chart_8860.T_FUJI CORPORATION LIMITED_2025-06-24.png
8864.T,AIRPORT FACILITIES CO,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線,,output/2025-06-24\chart_8864.T_AIRPORT FACILITIES CO_2025-06-24.png
8897.T,MIRARTH HOLDINGS INC,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線、三連続陰線（弱気連続）,,output/2025-06-24\chart_8897.T_MIRARTH HOLDINGS INC_2025-06-24.png
8848.T,LEOPALACE 21 CORP,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線、三連続陰線（弱気連続）,,output/2025-06-24\chart_8848.T_LEOPALACE 21 CORP_2025-06-24.png
9248.T,PEOPLE DREAMS & TECHNOLOGIES GR,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線,,output/2025-06-24\chart_9248.T_PEOPLE DREAMS & TECHNOLOGIES GR_2025-06-24.png
9216.T,BEWITH INC,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線,,output/2025-06-24\chart_9216.T_BEWITH INC_2025-06-24.png
9201.T,JAPAN AIRLINES CO LTD,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線,,output/2025-06-24\chart_9201.T_JAPAN AIRLINES CO LTD_2025-06-24.png
9247.T,TRE HLDGS CORP,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、高値切り下げ継続,,output/2025-06-24\chart_9247.T_TRE HLDGS CORP_2025-06-24.png
9202.T,ANA HOLDINGS INC,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線,,output/2025-06-24\chart_9202.T_ANA HOLDINGS INC_2025-06-24.png
9229.T,SUNWELS CO LTD,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線、高値切り下げ継続,,output/2025-06-24\chart_9229.T_SUNWELS CO LTD_2025-06-24.png
9142.T,KYUSHU RAILWAY COMPANY,2025-06-24,強い売り,⚠️ 売り圧力が高まっています。利確・調整に注意。,,移動平均線下抜け、戻り売り陰線、下降トレンドライン割れ,,output/2025-06-24\chart_9142.T_KYUSHU RAILWAY COMPANY_2025-06-24.png
