"# 条件: volume_change > 1.5, price_range < 0.05, MIN_VOLUME > 50000"
symbol,name,date,volume_change,price_range,avg_volume
8551.T,北日本銀行,2025-06-24,2.02,0.0122,339280
8522.T,名古屋銀行,2025-06-24,2.02,0.0122,339280
8524.T,北洋銀行,2025-06-24,2.02,0.0122,339280
8570.T,イオンフィナンシャルサービス,2025-06-24,2.02,0.0122,339280
8544.T,京葉銀行,2025-06-24,2.02,0.0122,339280
8541.T,愛媛銀行,2025-06-24,2.02,0.0122,339280
8584.T,ジャックス,2025-06-24,2.02,0.0122,339280
8558.T,東和銀行,2025-06-24,2.02,0.0122,339280
8566.T,リコーリース,2025-06-24,2.02,0.0122,339280
8550.T,栃木銀行,2025-06-24,2.02,0.0122,339280
8860.T,フジ住宅,2025-06-24,1.53,0.0071,199400
8881.T,日神グループホールディングス,2025-06-24,1.53,0.0071,199400
8892.T,日本エスコン,2025-06-24,1.53,0.0071,199400
8850.T,スターツコーポレーション,2025-06-24,1.53,0.0071,199400
8864.T,空港施設,2025-06-24,1.53,0.0071,199400
8897.T,ＭＩＲＡＲＴＨホールディングス,2025-06-24,1.53,0.0071,199400
8877.T,エスリード,2025-06-24,1.53,0.0071,199400
8876.T,リログループ,2025-06-24,1.53,0.0071,199400
8848.T,レオパレス２１,2025-06-24,1.53,0.0071,199400
9248.T,人・夢・技術グループ,2025-06-24,1.59,0.014,2106720
9216.T,ビーウィズ,2025-06-24,1.59,0.014,2106720
9201.T,日本航空,2025-06-24,1.59,0.014,2106720
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,2025-06-24,1.59,0.014,2106720
9247.T,ＴＲＥホールディングス,2025-06-24,1.59,0.014,2106720
9119.T,飯野海運,2025-06-24,1.59,0.014,2106720
9143.T,ＳＧホールディングス,2025-06-24,1.59,0.014,2106720
9202.T,ＡＮＡホールディングス,2025-06-24,1.59,0.014,2106720
9229.T,サンウェルズ,2025-06-24,1.59,0.014,2106720
9142.T,九州旅客鉄道,2025-06-24,1.59,0.014,2106720
